,Index,PredictedAccuracy,RMSE,D0,D1,D2,D3,D4,ImageSize,ModelSize
0,1,0.8227206468582153,1998.871808,0,1,2,2,2,192,25.807101249694824
1,2,0.8227206468582153,1998.871808,0,1,2,2,2,192,24.203754425048828
2,3,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
3,4,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
4,5,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
5,6,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
6,7,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
7,8,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
8,9,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.931310653686523
9,10,0.8227206468582153,1998.871808,0,1,2,2,2,192,25.61360454559326
10,11,0.8227206468582153,1998.871808,0,1,2,2,2,192,26.575088500976562
11,12,0.8227206468582153,1998.871808,0,1,2,2,2,192,23.490513801574707
12,13,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
13,14,0.8227206468582153,1998.871808,0,1,2,2,2,192,19.758073806762695
14,15,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
15,16,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
16,17,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
17,18,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.4556245803833
18,19,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
19,20,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
20,21,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
21,22,0.8227206468582153,1998.871808,0,1,2,2,2,192,26.325753211975098
22,23,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
23,24,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
24,25,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
25,26,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
26,27,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
27,28,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
28,29,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
29,30,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
30,31,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
31,32,0.8227206468582153,1998.871808,0,1,2,2,2,192,23.62250804901123
32,33,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.219630241394043
33,34,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.70453453063965
34,35,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
35,36,0.8227206468582153,1998.871808,0,1,2,2,2,192,24.199074745178223
36,37,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
37,38,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
38,39,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
39,40,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
40,41,0.8227206468582153,1998.871808,0,1,2,2,2,192,19.70021343231201
41,42,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
42,43,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
43,44,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
44,45,0.8227206468582153,1998.871808,0,1,2,2,2,192,26.98215675354004
45,46,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
46,47,0.8227206468582153,1998.871808,0,1,2,2,2,192,19.917104721069336
47,48,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
48,49,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.24751567840576
49,50,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
50,51,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
51,52,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.236136436462402
52,53,0.8227206468582153,1998.871808,0,1,2,2,2,192,19.186016082763672
53,54,0.8227206468582153,1998.871808,0,1,2,2,2,192,29.909719467163086
54,55,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
55,56,0.8227206468582153,1998.871808,0,1,2,2,2,192,27.247514724731445
56,57,0.8227206468582153,1998.871808,0,1,2,2,2,192,26.996023178100586
