,Index,Depth,ImageSize
0,1,"[0, 1, 2, 2, 2]",192
1,2,"[0, 1, 2, 2, 2]",192
2,3,"[0, 1, 2, 2, 2]",192
3,4,"[0, 1, 2, 2, 2]",192
4,5,"[0, 1, 2, 2, 2]",192
5,6,"[0, 1, 2, 2, 2]",192
6,7,"[0, 1, 2, 2, 2]",192
7,8,"[0, 1, 2, 2, 2]",192
8,9,"[0, 1, 2, 2, 2]",192
9,10,"[0, 1, 2, 2, 2]",192
10,11,"[0, 1, 2, 2, 2]",192
11,12,"[0, 1, 2, 2, 2]",192
12,13,"[0, 1, 2, 2, 2]",192
13,14,"[0, 1, 2, 2, 2]",192
14,15,"[0, 1, 2, 2, 2]",192
15,16,"[0, 1, 2, 2, 2]",192
16,17,"[0, 1, 2, 2, 2]",192
17,18,"[0, 1, 2, 2, 2]",192
18,19,"[0, 1, 2, 2, 2]",192
19,20,"[0, 1, 2, 2, 2]",192
20,21,"[0, 1, 2, 2, 2]",192
21,22,"[0, 1, 2, 2, 2]",192
22,23,"[0, 1, 2, 2, 2]",192
23,24,"[0, 1, 2, 2, 2]",192
24,25,"[0, 1, 2, 2, 2]",192
25,26,"[0, 1, 2, 2, 2]",192
26,27,"[0, 1, 2, 2, 2]",192
27,28,"[0, 1, 2, 2, 2]",192
28,29,"[0, 1, 2, 2, 2]",192
29,30,"[0, 1, 2, 2, 2]",192
30,31,"[0, 1, 2, 2, 2]",192
31,32,"[0, 1, 2, 2, 2]",192
32,33,"[0, 1, 2, 2, 2]",192
33,34,"[0, 1, 2, 2, 2]",192
34,35,"[0, 1, 2, 2, 2]",192
35,36,"[0, 1, 2, 2, 2]",192
36,37,"[0, 1, 2, 2, 2]",192
37,38,"[0, 1, 2, 2, 2]",192
38,39,"[0, 1, 2, 2, 2]",192
39,40,"[0, 1, 2, 2, 2]",192
40,41,"[0, 1, 2, 2, 2]",192
41,42,"[0, 1, 2, 2, 2]",192
42,43,"[0, 1, 2, 2, 2]",192
43,44,"[0, 1, 2, 2, 2]",192
44,45,"[0, 1, 2, 2, 2]",192
45,46,"[0, 1, 2, 2, 2]",192
46,47,"[0, 1, 2, 2, 2]",192
47,48,"[0, 1, 2, 2, 2]",192
48,49,"[0, 1, 2, 2, 2]",192
49,50,"[0, 1, 2, 2, 2]",192
50,51,"[0, 1, 2, 2, 2]",192
51,52,"[0, 1, 2, 2, 2]",192
52,53,"[0, 1, 2, 2, 2]",192
53,54,"[0, 1, 2, 2, 2]",192
54,55,"[0, 1, 2, 2, 2]",192
55,56,"[0, 1, 2, 2, 2]",192
56,57,"[0, 1, 2, 2, 2]",192
57,58,"[0, 1, 2, 2, 2]",192
58,59,"[0, 1, 2, 2, 2]",192
59,60,"[0, 1, 2, 2, 2]",192
60,61,"[0, 1, 2, 2, 2]",192
61,62,"[0, 1, 2, 2, 2]",192
62,63,"[0, 1, 2, 2, 2]",192
63,64,"[0, 1, 2, 2, 2]",192
64,65,"[0, 1, 2, 2, 2]",192
65,66,"[0, 1, 2, 2, 2]",192
66,67,"[0, 1, 2, 2, 2]",192
67,68,"[0, 1, 2, 2, 2]",192
68,69,"[0, 1, 2, 2, 2]",192
69,70,"[0, 1, 2, 2, 2]",192
70,71,"[0, 1, 2, 2, 2]",192
71,72,"[0, 1, 2, 2, 2]",192
72,73,"[0, 1, 2, 2, 2]",192
73,74,"[0, 1, 2, 2, 2]",192
74,75,"[0, 1, 2, 2, 2]",192
75,76,"[0, 1, 2, 2, 2]",192
76,77,"[0, 1, 2, 2, 2]",192
77,78,"[0, 1, 2, 2, 2]",192
78,79,"[0, 1, 2, 2, 2]",192
79,80,"[0, 1, 2, 2, 2]",192
80,81,"[0, 1, 2, 2, 2]",192
81,82,"[0, 1, 2, 2, 2]",192
82,83,"[0, 1, 2, 2, 2]",192
83,84,"[0, 1, 2, 2, 2]",192
84,85,"[0, 1, 2, 2, 2]",192
85,86,"[0, 1, 2, 2, 2]",192
86,87,"[0, 1, 2, 2, 2]",192
87,88,"[0, 1, 2, 2, 2]",192
88,89,"[0, 1, 2, 2, 2]",192
89,90,"[0, 1, 2, 2, 2]",192
90,91,"[0, 1, 2, 2, 2]",192
91,92,"[0, 1, 2, 2, 2]",192
92,93,"[0, 1, 2, 2, 2]",192
93,94,"[0, 1, 2, 2, 2]",192
94,95,"[0, 1, 2, 2, 2]",192
95,96,"[0, 1, 2, 2, 2]",192
96,97,"[0, 1, 2, 2, 2]",192
97,98,"[0, 1, 2, 2, 2]",192
98,99,"[0, 1, 2, 2, 2]",192
99,100,"[0, 1, 2, 2, 2]",192
100,101,"[0, 1, 2, 2, 2]",192
101,102,"[0, 1, 2, 2, 2]",192
102,103,"[0, 1, 2, 2, 2]",192
103,104,"[0, 1, 2, 2, 2]",192
104,105,"[0, 1, 2, 2, 2]",192
105,106,"[0, 1, 2, 2, 2]",192
106,107,"[0, 1, 2, 2, 2]",192
107,108,"[0, 1, 2, 2, 2]",192
108,109,"[0, 1, 2, 2, 2]",192
109,110,"[0, 1, 2, 2, 2]",192
110,111,"[0, 1, 2, 2, 2]",192
111,112,"[0, 1, 2, 2, 2]",192
112,113,"[0, 1, 2, 2, 2]",192
113,114,"[0, 1, 2, 2, 2]",192
114,115,"[0, 1, 2, 2, 2]",192
115,116,"[0, 1, 2, 2, 2]",192
116,117,"[0, 1, 2, 2, 2]",192
117,118,"[0, 1, 2, 2, 2]",192
118,119,"[0, 1, 2, 2, 2]",192
119,120,"[0, 1, 2, 2, 2]",192
120,121,"[0, 1, 2, 2, 2]",192
121,122,"[0, 1, 2, 2, 2]",192
122,123,"[0, 1, 2, 2, 2]",192
123,124,"[0, 1, 2, 2, 2]",192
124,125,"[0, 1, 2, 2, 2]",192
125,126,"[0, 1, 2, 2, 2]",192
126,127,"[0, 1, 2, 2, 2]",192
127,128,"[0, 1, 2, 2, 2]",192
128,129,"[0, 1, 2, 2, 2]",192
129,130,"[0, 1, 2, 2, 2]",192
130,131,"[0, 1, 2, 2, 2]",192
131,132,"[0, 1, 2, 2, 2]",192
132,133,"[0, 1, 2, 2, 2]",192
133,134,"[0, 1, 2, 2, 2]",192
134,135,"[0, 1, 2, 2, 2]",192
135,136,"[0, 1, 2, 2, 2]",192
136,137,"[0, 1, 2, 2, 2]",192
137,138,"[0, 1, 2, 2, 2]",192
138,139,"[0, 1, 2, 2, 2]",192
139,140,"[0, 1, 2, 2, 2]",192
140,141,"[0, 1, 2, 2, 2]",192
141,142,"[0, 1, 2, 2, 2]",192
142,143,"[0, 1, 2, 2, 2]",192
143,144,"[0, 1, 2, 2, 2]",192
144,145,"[0, 1, 2, 2, 2]",192
145,146,"[0, 1, 2, 2, 2]",192
146,147,"[0, 1, 2, 2, 2]",192
147,148,"[0, 1, 2, 2, 2]",192
148,149,"[0, 1, 2, 2, 2]",192
149,150,"[0, 1, 2, 2, 2]",192
150,151,"[0, 1, 2, 2, 2]",192
151,152,"[0, 1, 2, 2, 2]",192
152,153,"[0, 1, 2, 2, 2]",192
153,154,"[0, 1, 2, 2, 2]",192
154,155,"[0, 1, 2, 2, 2]",192
155,156,"[0, 1, 2, 2, 2]",192
156,157,"[0, 1, 2, 2, 2]",192
157,158,"[0, 1, 2, 2, 2]",192
158,159,"[0, 1, 2, 2, 2]",192
159,160,"[0, 1, 2, 2, 2]",192
160,161,"[0, 1, 2, 2, 2]",192
161,162,"[0, 1, 2, 2, 2]",192
162,163,"[0, 1, 2, 2, 2]",192
163,164,"[0, 1, 2, 2, 2]",192
164,165,"[0, 1, 2, 2, 2]",192
165,166,"[0, 1, 2, 2, 2]",192
166,167,"[0, 1, 2, 2, 2]",192
167,168,"[0, 1, 2, 2, 2]",192
168,169,"[0, 1, 2, 2, 2]",192
169,170,"[0, 1, 2, 2, 2]",192
170,171,"[0, 1, 2, 2, 2]",192
171,172,"[0, 1, 2, 2, 2]",192
172,173,"[0, 1, 2, 2, 2]",192
173,174,"[0, 1, 2, 2, 2]",192
174,175,"[0, 1, 2, 2, 2]",192
175,176,"[0, 1, 2, 2, 2]",192
176,177,"[0, 1, 2, 2, 2]",192
177,178,"[0, 1, 2, 2, 2]",192
178,179,"[0, 1, 2, 2, 2]",192
